email_routing_recipient_id,email_routing_rule_id,email_routing_recipient_seq,email_routing_recipient_email,email_routing_recipient_type_code,email_routing_recipient_status_flag,email_routing_recipient_created_by,email_routing_recipient_updated_by,email_routing_recipient_create_dt,email_routing_recipient_update_dt,email_routing_recipient_audit_log
1,DUMMY-2228-001,1,dummy.d01@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
2,DUMMY-2228-002,1,dummy.shared@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
3,DUMMY-2228-002,2,dummy.d02@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
4,DUMMY-2228-003,1,dummy.d03@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
5,DUMMY-2228-004,1,dummy.d04@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
6,DUMMY-2228-005,1,dummy.d05@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
7,DUMMY-2228-006,1,dummy.d06@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
8,DUMMY-2228-007,1,dummy.d07@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
9,DUMMY-2228-008,1,dummy.d08@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
10,DUMMY-2228-009,1,dummy.d09@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
11,DUMMY-2228-010,1,dummy.d10@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
12,DUMMY-2228-011,1,dummy.d11@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
13,DUMMY-2228-012,1,dummy.d12@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
14,DUMMY-2228-013,1,dummy.d13@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
15,DUMMY-2228-014,1,dummy.d14@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
16,DUMMY-2228-015,1,dummy.d15@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
17,DUMMY-2228-016,1,dummy.d16@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
18,DUMMY-2228-017,1,dummy.d17@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
19,DUMMY-2228-018,1,dummy.d18@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
20,DUMMY-2228-019,1,dummy.d19@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
21,DUMMY-2228-020,1,dummy.d20@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
22,DUMMY-2228-021,1,dummy.d21.first@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
23,DUMMY-2228-021,2,dummy.d21.list@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
24,DUMMY-2228-021,3,dummy.d21.third@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
